,Relative imbalance,Convergence rate
0,0.8079533741940655,1.4052397313340865
500,0.8054697424085202,1.0144370461427783
1000,0.8008501462612617,1.0265880898452557
1500,0.7967846089024416,1.0229170725206393
2000,0.7994828432394816,0.9851183276693948
2500,0.8057915280728684,0.9648778806446202
3000,0.8419245990989922,0.796853810185988
3500,0.6713484678845273,2.3157956056914575
4000,0.3405440753858184,2.703387864408776
4500,0.14550700871500466,1.789372302294459
5000,0.057261067959057055,1.4838330970125362
5500,0.021788232040600156,1.337834112036811
6000,0.008160192670025575,1.256665798129705
6500,0.0030346100388968446,1.2057164237665419
7000,0.001137907016740773,1.1691872607060483
7500,0.00043482161171970934,1.1419194318903871
8000,0.00017198589715641802,1.1198261647065222
8500,7.427960213562559e-05,1.09685816801438
9000,3.7139801067812796e-05,1.0729039686888306
9500,2.256957141797936e-05,1.0488280875136073
10000,1.714144174948416e-05,1.0257132388702248
10500,1.4855916182967472e-05,1.0130399756929853
11000,1.3998840096083848e-05,1.005345246513388
11500,1.3427458867692977e-05,1.0037285878283804
12000,1.3141768253396043e-05,1.0019170801375312
12500,1.34274550315951e-05,0.9980866134445132
13000,1.314176449891727e-05,1.0019170800887096
13500,1.2856073966442436e-05,1.001955468282197
14000,1.2856070293584865e-05,1.0000000253683405
