Time (s),Volumes (m3/s),Fluxes Boundary 1,Fluxes Boundary 2
0.0,0.0,0.0,0.0
500.0,89353.7,49.65156,6.990964
1000.0,110494.7,35.17966,6.756135
1500.0,131392.7,35.0788,6.823888
2000.0,152343.6,35.00927,6.972091
2500.0,173385.2,35.00725,7.114012
3000.0,194424.1,35.00486,7.019075
3500.0,215399.1,35.00337,6.797951
4000.0,236061.7,35.00303,5.533118
4500.0,253452.6,35.00291,-11.50376
5000.0,262144.7,35.00287,-23.08285
5500.0,266200.6,35.00285,-29.90969
6000.0,267866.3,35.00284,-32.99854
6500.0,268508.6,35.00284,-34.24019
7000.0,268751.3,35.00285,-34.71722
7500.0,268841.9,35.00285,-34.89663
8000.0,268875.6,35.00286,-34.96303
8500.0,268888.4,35.00286,-34.98764
9000.0,268893.3,35.00287,-34.99685
9500.0,268895.3,35.00288,-35.00028
10000.0,268896.2,35.00288,-35.00158
10500.0,268896.8,35.00288,-35.00209
11000.0,268897.1,35.00289,-35.00229
11500.0,268897.4,35.00289,-35.00237
12000.0,268897.6,35.0029,-35.00241
12500.0,268897.9,35.0029,-35.00243
13000.0,268898.1,35.0029,-35.00244
13500.0,268898.3,35.00291,-35.00244
14000.0,268898.6,35.00291,-35.00245
14500.0,268898.8,35.00291,-35.00246
15000.0,268899.0,35.00292,-35.00247
